KorhazRovid;Korhaz;SzakmaKod;SzakmaMegnev;OsszesAgy;MukodoIAgy;MukodoIIAgy;TartoSzuneteloAgy;Kiesett6HonapnalHosszabb;Kiesett6HonapnalRovidebb;TeljesithetoApolasiNapSzam;ElbocsatottBetegSzam;EltavozottBetegSzam;MasOsztalyBetegSzam;MeghaltBetegSzam;EgynaposEsetSzam;TeljesitettApolasiNapSzam;ApolasAtlTartam;Agykihasznalas;Halalozas;Ev;OsszesAtlagAgy;MukodoAtlagAgy
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;1;Belgyógyászat;100;100;100;0;0;0;36600;3262;2853;202;207;28;26988;8,27;73,74;6,35;2000;;
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;2;Sebészet;50;50;50;0;0;0;18300;1776;1607;123;46;20;12403;6,98;67,78;2,59;2000;;
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;3;Traumatológia;30;30;30;0;0;0;10980;1280;1248;27;5;35;6706;5,24;61,07;0,39;2000;;
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;4;Szülészet-nőgyógyászat;50;50;50;0;0;0;18300;2376;2366;10;0;1;10885;4,58;59,48;0;2000;;
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;15;Intenzív betegellátó;4;4;4;0;0;0;1464;97;7;59;31;7;738;7,61;50,41;31,96;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;1;Belgyógyászat;72;72;72;0;0;0;26352;2871;2395;258;218;36;23560;8,21;89,4;7,59;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;2;Sebészet;55;55;55;0;0;396;19734;1806;1654;113;39;7;14536;8,05;73,66;2,16;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;3;Traumatológia;45;45;45;0;0;0;16470;1414;1336;68;10;18;13021;9,21;79,06;0,71;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;4;Szülészet-nőgyógyászat;60;60;60;0;0;0;21960;3198;3179;19;0;4;17103;5,35;77,88;0;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;5;Csecsemő- és gyermekgyógyászat;32;32;32;0;0;0;11712;1793;1787;6;0;0;7465;4,16;63,74;0;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;6;Fül-orr-gégészet;20;20;20;0;0;128;7192;1220;1208;11;1;2;5503;4,51;76,52;0,08;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;9;Ideggyógyászat;30;30;30;0;0;0;10980;615;516;63;36;5;7642;12,43;69,6;5,85;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;11;Urológia;25;25;25;0;0;192;8958;872;837;26;9;1;6179;7,09;68,98;1,03;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;12;Onkológia, onkoradiológia;30;30;30;0;0;342;10638;1054;901;71;82;5;7803;7,4;73,35;7,78;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;13;Fog- és szájsebészet;4;4;4;0;0;0;1464;209;207;2;0;0;961;4,6;65,64;0;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;15;Intenzív betegellátó;8;8;8;0;0;0;2928;436;87;221;128;59;2550;5,85;87,09;29,36;2000;;
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;16;Fertőző betegellátó;30;30;30;0;0;0;10980;709;597;53;59;3;8101;11,43;73,78;8,32;2000;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;1;Belgyógyászat;60;60;60;0;0;0;21960;2139;1800;166;173;36;17656;8,25;80,4;8,09;2000;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;2;Sebészet;60;60;60;0;0;0;21960;2233;1979;230;24;27;15548;6,96;70,8;1,07;2000;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;4;Szülészet-nőgyógyászat;40;40;40;0;0;0;14640;1763;1748;15;0;4;10088;5,72;68,91;0;2000;;
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;5;Csecsemő- és gyermekgyógyászat;30;30;30;0;0;0;10980;1081;1076;3;2;8;5101;4,72;46,46;0,19;2000;;
