V2;V1;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;file
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;1;Belgyógyászat;100;100;100;0;0;0;36600;3262;2853;202;207;28;26988;8,27;73,74;6,35;10
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;2;Sebészet;50;50;50;0;0;0;18300;1776;1607;123;46;20;12403;6,98;67,78;2,59;10
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;3;Traumatológia;30;30;30;0;0;0;10980;1280;1248;27;5;35;6706;5,24;61,07;0,39;10
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;4;Szülészet-nőgyógyászat;50;50;50;0;0;0;18300;2376;2366;10;0;1;10885;4,58;59,48;0;10
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;15.;Intenzív betegellátó;4;4;4;0;0;0;1464;97;7;59;31;7;738;7,61;50,41;31,96;10
0104;Fővárosi Önkormányzat Csepeli Weiss Manfréd Kórháza;90.;Aktív betegell. oszt. együtt;234;234;234;0;0;0;85644;8791;8081;421;289;91;57720;6,57;67,4;3,29;10
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;1.;Belgyógyászat;72;72;72;0;0;0;26352;2871;2395;258;218;36;23560;8,21;89,4;7,59;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;2.;Sebészet;55;55;55;0;0;396;19734;1806;1654;113;39;7;14536;8,05;73,66;2,16;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;3.;Traumatológia;45;45;45;0;0;0;16470;1414;1336;68;10;18;13021;9,21;79,06;0,71;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;4.;Szülészet-nőgyógyászat;60;60;60;0;0;0;21960;3198;3179;19;0;4;17103;5,35;77,88;0;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;5.;Csecs.- és gyermekgyógy.;32;32;32;0;0;0;11712;1793;1787;6;0;0;7465;4,16;63,74;0;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;6.;Fül-orr-gégészet;20;20;20;0;0;128;7192;1220;1208;11;1;2;5503;4,51;76,52;0,08;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;9.;Ideggyógyászat;30;30;30;0;0;0;10980;615;516;63;36;5;7642;12,43;69,6;5,85;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;11.;Urológia;25;25;25;0;0;192;8958;872;837;26;9;1;6179;7,09;68,98;1,03;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;12.;Onkológia, onkoradiológia;30;30;30;0;0;342;10638;1054;901;71;82;5;7803;7,4;73,35;7,78;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;13.;Fog- és szájsebészet;4;4;4;0;0;0;1464;209;207;2;0;0;961;4,6;65,64;0;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;15.;Intenzív betegellátó;8;8;8;0;0;0;2928;436;87;221;128;59;2550;5,85;87,09;29,36;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;16.;Fertőző betegellátó;30;30;30;0;0;0;10980;709;597;53;59;3;8101;11,43;73,78;8,32;101
0601;Csongrád Megyei Önkormányzat Területi Kórháza, Szentes;90.;Aktív betegell. oszt. együtt;411;411;411;0;0;1058;149368;16197;14704;911;582;140;114424;7,06;76,61;3,59;101
0602;Városi Erzsébet KH-RI, Hódmezővásárhely;1;Belgyógyászat;60;60;60;0;0;0;21960;2139;1800;166;173;36;17656;8,25;80,4;8,09;102
